,time[frames],multi_alignedByIntensity_intensity_mean,multi_alignedByIntensity_intensity_std,multi_alignedByIntensity_intensity_mean_normalized,multi_alignedByIntensity_intensity_std_normalized,multi_alignedByIntensity_distance_mean,multi_alignedByIntensity_distance_std,multi_alignedByIntensity_distance_mean_normalized,multi_alignedByIntensity_distance_std_normalized
496,-1.244,2.9860966666666666,1.1641871560974302,0.46000433390365586,0.17934152743876003,6.681131083256794,4.987931090219768,0.015464538404531823,0.011545358254857205
497,-0.933,2.98598,0.8913669082183092,0.459986361554372,0.13731392069649156,20.04326923503342,6.551345440720462,0.046393328161801604,0.015164128933687918
498,-0.622,3.0995333333333335,1.0166002393708593,0.4774791058602183,0.15660595357755416,23.410904374741804,11.41157479751257,0.05418825424564738,0.026413901256117242
499,-0.311,3.1085975,0.8822591008137859,0.4788754290256522,0.13591087473176822,16.37191735650638,10.948817253636616,0.037895401476256696,0.025342775466175686
500,0.0,3.430988181818182,0.7555853902988449,0.5285392970785456,0.11639695327068693,7.070247769031769,10.597784449771188,0.016365210739204522,0.02453025432133068
501,0.311,3.5303445454545455,0.9268071908572967,0.543845016542964,0.14277345045341105,20.979333265324936,15.645598138074563,0.04855999694365218,0.03621422035476415
502,0.622,3.696580909090909,0.9605086481031766,0.5694535136082894,0.14796511640482818,17.859210700599274,14.126055479614925,0.041337978002882386,0.03269699767102381
503,0.933,3.7717081818181812,0.9314948310676691,0.5810267729185731,0.14349557537207935,24.357111496585844,17.415814427203035,0.05637840082293409,0.040311666946728116
504,1.244,4.004717272727273,0.9595549740288314,0.61692152235975,0.1478182041456815,22.148037802340564,14.114192991311917,0.051265149105914294,0.032669540058884616
505,1.555,4.000864545454545,1.0232721415178914,0.6163280147005413,0.15763375148419123,22.64089424377067,13.790580987046683,0.052405943571916816,0.031920488707285075
506,1.866,4.276218181818183,0.9164048603281509,0.6587458866660855,0.1411709848736725,22.504951374585275,16.17310767101352,0.05209128222264195,0.037435224901634166
507,2.177,4.306714545454546,0.9901312977980944,0.6634438120874646,0.1525284473222372,23.841377057392904,19.294328798576625,0.05518465159962876,0.04465978664046879
508,2.488,4.460964545454545,0.9807274879613476,0.6872058253192216,0.15107980256522127,23.78200326966874,18.24016206443818,0.055047221543394136,0.04221975040383247
509,2.799,4.512864545454546,1.035461626744882,0.6952009532720786,0.15951152593639256,24.52867011017029,13.813798120950262,0.05677550046599507,0.03197422844901755
510,3.11,4.720763636363636,0.8858109819540586,0.7272275396516706,0.13645803743292081,25.45288828068585,19.89823316714903,0.058914750125071795,0.046057619160752176
511,3.421,4.622248181818183,0.8855024393048707,0.7120513611463765,0.13641050683640502,29.706677315524725,15.830434355693878,0.06876082006057971,0.03664205311995051
512,3.732,4.685231818181818,1.114951775058359,0.7217539089626286,0.17175688059453956,26.50623138853767,18.101138865198138,0.0613528799479315,0.04189795914169778
513,4.043,4.727936363636363,0.9131415225798815,0.7283324890219288,0.1406682719093025,33.48951578031998,19.108416654213723,0.07751680014658184,0.0442294634720499
514,4.354,4.874690909090909,0.9116618938106643,0.7509398371639802,0.14044033700886668,31.34298834430854,19.27204842537043,0.07254832167236536,0.04460821518006473
515,4.665,4.9233754545454556,0.9467832260906461,0.7584396284980028,0.14585073287501815,34.41979152030854,18.113746813142626,0.07967007101173672,0.04192714223850581
516,4.976,5.1552381818181825,0.9810211176655602,0.7941577821019303,0.151125035841829,36.5828331583415,17.413427437190094,0.08467677422787183,0.040306141879450384
517,5.287,5.011687272727272,0.8558554283192173,0.7720439500030716,0.13184342309362937,38.90196806863441,20.71840557259419,0.0900447800997208,0.04795603838113382
518,5.598,5.0729727272727265,0.9072119980075912,0.7814848951040332,0.13975483630901214,42.54350933334172,23.28376557694787,0.09847370538766805,0.05389397131709992
519,5.909,5.13312909090909,0.7123526019970032,0.7907519052090682,0.10973699808317243,48.598772132647625,26.708357714278737,0.1124895723033868,0.06182073341286695
520,6.22,5.016801818181818,0.8203015969509816,0.7728318391231063,0.1263664013016574,48.89906379712224,34.019310290489415,0.11318464502684618,0.07874309363595185
521,6.531,5.051802727272726,0.8948360724846952,0.7782236839525498,0.13784834097007992,55.58757193435813,37.446240832541854,0.1286662587937905,0.08667526834062769
522,6.842,5.027871818181818,1.0514335032517894,0.7745371583222993,0.1619719728789736,57.608799427315034,41.64017185437471,0.1333447106606398,0.09638278740362385
523,7.153,5.142562727272726,0.9789025296830298,0.79220514470402,0.1507986701000233,67.55946928741517,56.117770617226476,0.15637711554608982,0.12989348780502746
524,7.464,5.094652727272727,1.1783122056884503,0.7848246710966719,0.1815174730807765,77.81735768082716,70.73441864410614,0.18012062649244193,0.16372603979965458
525,7.775,4.855022727272728,1.1150381660739923,0.7479099791632785,0.1717701890188934,87.87849516349002,82.06396130514888,0.20340872622511022,0.18995006465475003
526,8.086,4.932758181818182,1.0853558626704232,0.759885025513267,0.16719766852473045,94.58970934495315,75.21330374263852,0.21894289673560463,0.17409313030463172
527,8.397,4.780785454545455,1.378768266852461,0.7364738232032461,0.2123974703434353,100.44165910167197,91.82291190310005,0.23248816334187736,0.21253870487588727
528,8.708,4.8587869999999995,1.6288306789537703,0.7484898605140297,0.2509192618838982,104.23330226844283,133.56308087311064,0.24126452330819398,0.30915295147643795
529,9.019,4.887729,1.7021495738768082,0.7529483382252357,0.2622139429295969,95.20017420811809,84.31023121727407,0.22035591456198583,0.19514941292229984
530,9.33,4.990052222222222,1.838236454006803,0.768711098422062,0.28317795100945087,89.32574524043483,64.78357732937314,0.2067586162537556,0.14995187298505835
531,9.641,5.087870000000001,1.9015090420447067,0.7837798007225912,0.292925011457841,102.37278902603104,79.81303260571049,0.23695807008479877,0.1847399328844631
532,9.952,4.902522222222221,1.828991349513458,0.7552272149979082,0.28175375460556207,114.11640235813749,80.23418713384388,0.264140527234525,0.1857147618907197
533,10.263,5.1021225,1.7990266962496002,0.7859753799354638,0.27713773848017603,111.81284313269217,88.08799167139881,0.2588085737576225,0.20389363914655997
534,10.574,4.9689387499999995,2.013688868888622,0.7654585953017198,0.31020616886336017,126.70893394019134,105.98640010061581,0.29328794042463185,0.24532234651427975
535,10.885,5.257528571428572,2.0211394524406883,0.8099154844773186,0.3113539216345012,86.36164965782848,48.358539100338,0.19989774652964679,0.11193351481732736
536,11.196,5.304524285714286,2.0204660825933716,0.8171551135515035,0.31125018987941655,106.01683733012412,66.20044420925807,0.2453927983133529,0.15323143628130917
537,11.507,4.8660114285714275,2.080647486367292,0.7496027744025623,0.32052105738529413,107.84507961924872,64.17879530140132,0.2496245552929173,0.14855200898278198
538,11.818,5.499166666666667,1.963027897973491,0.847139520887978,0.30240191174038444,105.56435138555311,73.14913206640976,0.2443454477704388,0.16931527730896412
539,12.129,5.40164,1.9873257906543658,0.8321156638780428,0.3061449707185806,113.38587709824442,74.86194855671899,0.26244961056243515,0.17327986295535
540,12.44,4.898576666666666,2.001767524902818,0.7546194072616507,0.3083697012229647,119.62024377817471,77.58755245736549,0.2768800418394576,0.1795887058251928
541,12.751,5.63365,1.8171494385657991,0.867856504655352,0.2799295235220771,113.56888991963031,80.88589655447988,0.26287322278760705,0.18722324679221752
542,13.062,5.368954,1.985265053866611,0.8270804278035324,0.3058275168785949,114.95118579156652,70.60836749348424,0.26607276599841967,0.16343427440313169
543,13.373,4.929992,2.1842564251699015,0.7594588987776749,0.3364818805603729,129.10763548479008,76.91305623525896,0.2988401159013888,0.1780274772546865
544,13.684,6.491453333333333,1.3571701992094514,1.0,0.20907031592454664,70.5455003484821,22.751477731325394,0.163288758416968,0.0526619066070506
545,13.995,6.109003333333334,1.2861769200835294,0.9410840715689759,0.1981338929880411,83.71623310107475,15.921224813739416,0.19377450999557772,0.03685220204648913
546,14.306,6.360416666666667,1.5356577474887503,0.9798139707800411,0.23656609215739316,94.58421654560367,22.409238486508603,0.21893018277962473,0.05186973955044687
